fmun_cod;fmun;ano;mes;regiao;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;feminicidio;letalidade_violenta;tentat_hom;tentativa_feminicidio;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;ameaca
3301876;Iguaba Grande;2026;1;Interior;1;0;0;1;0;0;1;5;0;16;1;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;1;0;0;4;11;0;0;0;24;4;2;2;13
3301900;Itaboraí;2026;1;Interior;3;0;0;3;1;1;5;2;1;62;4;0;17;17;11;1;29;57;7;2;0;0;0;0;0;0;9;30;4;9;12;3;76;0;4;0;152;29;6;17;59
3302007;Itaguaí;2026;1;Baixada Fluminense;2;0;0;2;0;0;2;6;0;31;1;1;14;2;5;0;7;6;0;0;0;0;0;0;1;0;3;15;0;0;8;1;35;0;3;0;96;6;1;4;21
3302056;Italva;2026;1;Interior;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;10;5;4;2
3302106;Itaocara;2026;1;Interior;0;0;0;0;0;0;0;2;0;8;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;3;0;1;0;18;5;3;2;22
3302205;Itaperuna;2026;1;Interior;4;0;0;4;0;0;4;3;0;40;5;1;6;3;0;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;3;1;20;0;1;0;48;25;11;10;50
3302254;Itatiaia;2026;1;Interior;2;0;0;2;0;0;2;0;0;18;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;0;0;0;15;14;3;9;33
3302270;Japeri;2026;1;Baixada Fluminense;5;0;0;5;0;0;5;1;1;34;1;4;4;2;3;0;5;2;0;1;0;0;0;0;0;0;0;1;2;0;0;0;18;0;0;0;44;7;1;4;32
3302304;Laje do Muriaé;2026;1;Interior;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;4;0;0;2
3302403;Macaé;2026;1;Interior;2;0;0;2;0;0;2;0;0;72;7;6;26;3;4;0;7;4;0;0;0;0;0;0;0;0;4;14;11;2;14;4;86;0;7;0;241;49;15;31;122
3302452;Macuco;2026;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;0;1;1
3302502;Magé;2026;1;Baixada Fluminense;1;0;0;1;0;0;1;3;1;118;7;5;25;14;7;0;21;16;0;1;2;0;0;0;0;0;5;14;6;5;19;7;78;0;8;0;151;75;64;11;166
3302601;Mangaratiba;2026;1;Interior;0;0;0;0;0;0;0;0;0;30;2;1;22;0;2;1;3;0;0;0;0;0;0;0;0;0;0;7;1;0;8;0;13;0;0;0;34;10;5;6;32
3302700;Maricá;2026;1;Grande Niterói;1;0;0;1;0;0;1;2;0;105;14;3;27;6;6;0;12;4;0;1;1;0;0;0;0;0;6;5;9;5;27;4;138;0;5;0;178;16;9;5;140
3302809;Mendes;2026;1;Interior;0;0;0;0;0;0;0;0;0;11;1;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;15;9;6;3;19
3302858;Mesquita;2026;1;Baixada Fluminense;1;1;0;2;1;0;3;1;0;68;4;1;24;19;40;3;62;58;2;4;0;0;0;0;0;0;7;14;1;0;7;1;45;0;2;0;76;18;4;11;58
3302908;Miguel Pereira;2026;1;Interior;0;0;0;0;0;0;0;2;0;12;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;24;26;21;2;14
3303005;Miracema;2026;1;Interior;0;0;0;0;0;0;0;0;0;15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;21;31;17;10;11
3303104;Natividade;2026;1;Interior;1;0;0;1;0;0;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;5;7;4;3;5
3303203;Nilópolis;2026;1;Baixada Fluminense;0;0;0;0;0;0;0;1;0;58;5;0;7;25;21;3;49;25;0;3;0;0;0;0;0;0;9;24;4;5;10;0;52;0;1;0;113;5;1;4;46
3303302;Niterói;2026;1;Grande Niterói;5;0;0;5;9;0;14;25;2;164;17;3;94;53;25;0;78;49;1;5;2;0;0;0;0;2;9;40;57;13;118;46;388;0;24;1;637;36;6;25;185
3303401;Nova Friburgo;2026;1;Interior;2;0;0;2;0;0;2;2;1;69;3;2;21;1;2;1;4;1;0;0;1;0;0;0;0;0;0;5;2;1;11;0;34;0;3;0;113;70;11;52;87
3303500;Nova Iguaçu;2026;1;Baixada Fluminense;16;0;0;16;0;0;16;11;0;324;18;6;88;126;119;4;249;196;7;12;2;0;0;0;0;1;30;79;16;3;69;9;257;0;12;2;421;14;6;7;387
3303609;Paracambi;2026;1;Baixada Fluminense;4;0;0;4;0;0;4;1;0;11;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;0;22;11;2;7;23
3303708;Paraíba do Sul;2026;1;Interior;0;0;0;0;0;0;0;1;0;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;11;0;0;0;25;23;12;6;19
3303807;Paraty;2026;1;Interior;1;0;0;1;0;0;1;0;0;27;9;4;8;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;2;0;5;2;18;0;1;0;34;21;5;14;25
3303856;Paty do Alferes;2026;1;Interior;0;0;0;0;0;0;0;0;0;11;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;8;11;4;7;27
3303906;Petrópolis;2026;1;Interior;1;0;0;1;0;0;1;3;3;129;10;0;18;4;1;0;5;2;1;1;0;0;0;0;0;0;0;2;6;0;13;0;112;0;5;0;267;86;15;52;160
3303955;Pinheiral;2026;1;Interior;0;0;0;0;0;0;0;0;0;14;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;4;0;3;0;11;8;4;3;12
3304003;Piraí;2026;1;Interior;0;0;0;0;0;0;0;1;0;14;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;7;0;1;0;11;19;15;3;20
3304102;Porciúncula;2026;1;Interior;0;0;0;0;0;0;0;0;0;7;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;9;2;2;0;11
3304110;Porto Real;2026;1;Interior;0;0;0;0;0;0;0;0;0;6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;0;0;17;7;4;4;9
3304128;Quatis;2026;1;Interior;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;6;5;1;4;4
3304144;Queimados;2026;1;Baixada Fluminense;2;0;0;2;0;0;2;0;0;60;10;0;12;4;6;0;10;7;2;5;0;0;0;0;0;0;2;10;4;2;9;1;46;0;1;0;71;4;3;1;58
