fmun_cod,ano,populacao
3300209,2017,126742
3300225,2017,12143
3300233,2017,32260
3300258,2017,29304
3300308,2017,97460
3300407,2017,179451
3300456,2017,495783
3300506,2017,26566
3300605,2017,36068
3300704,2017,216030
3300803,2017,57048
3300902,2017,15124
3300936,2017,15568
3300951,2017,8336
3301009,2017,490288
3301108,2017,19697
3301157,2017,12519
3301207,2017,18264
3301306,2017,41999
3301405,2017,22461
3301504,2017,21250
3301603,2017,11169
3301702,2017,890997
3301801,2017,13576
3301850,2017,57921
3301876,2017,26936
3301900,2017,232394
3302007,2017,122369
3302056,2017,14723
3302106,2017,22694
3302205,2017,99997
3302254,2017,30703
3302270,2017,101237
3302304,2017,7217
3302403,2017,244139
3302452,2017,5434
3302502,2017,237420
3302601,2017,42415
3302700,2017,153008
3302809,2017,18123
3302858,2017,171280
3302908,2017,24871
3303005,2017,26551
3303104,2017,14960
3303203,2017,158329
3303302,2017,499028
3303401,2017,185381
3303500,2017,798647
3303609,2017,50447
3303708,2017,42922
3303807,2017,41454
3303856,2017,26991
3303906,2017,298235
3303955,2017,24282
3304003,2017,28222
3304102,2017,18248
3304110,2017,18829
3304128,2017,13785
3304144,2017,145386
3304151,2017,23535
3304201,2017,126923
3304300,2017,58272
3304409,2017,17988
3304508,2017,8984
3304524,2017,141117
3304557,2017,6520266
3304607,2017,10172
3304706,2017,41312
3304755,2017,41191
3304805,2017,37689
3304904,2017,1049826
3305000,2017,35174
3305109,2017,460461
3305133,2017,6953
3305158,2017,21114
3305208,2017,99906
3305307,2017,9094
3305406,2017,17765
3305505,2017,85175
3305554,2017,84416
3305604,2017,21253
3305703,2017,15191
3305752,2017,32970
3305802,2017,176060
3305901,2017,10352
3306008,2017,79402
3306107,2017,74237
3306156,2017,10597
3306206,2017,35768
3306305,2017,265201
3300100,2018,200407
3300159,2018,11612
3300209,2018,130439
3300225,2018,12471
3300233,2018,33240
3300258,2018,30096
3300308,2018,99969
3300407,2018,183976
3300456,2018,508614
3300506,2018,27269
3300605,2018,36985
3300704,2018,222528
3300803,2018,58560
3300902,2018,15496
3300936,2018,16039
3300951,2018,8544
3301009,2018,503424
3301108,2018,20177
3301157,2018,12826
3301207,2018,18755
3301306,2018,43295
3301405,2018,23064
3301504,2018,21806
3301603,2018,11454
3301702,2018,914383
3301801,2018,13929
3301850,2018,59613
3301876,2018,27762
3301900,2018,238695
3302007,2018,125913
3302056,2018,15113
3302106,2018,23247
3302205,2018,102626
3302254,2018,31537
3302270,2018,103960
3302304,2018,7386
3302403,2018,251631
3302452,2018,5574
3302502,2018,243657
3302601,2018,43689
3302700,2018,157789
3302809,2018,18578
3302858,2018,175620
3302908,2018,25493
3303005,2018,27195
3303104,2018,15324
3303203,2018,162269
3303302,2018,511786
3303401,2018,190084
3303500,2018,818875
3303609,2018,51815
3303708,2018,44045
3303807,2018,42630
3303856,2018,27678
3303906,2018,305687
3303955,2018,24941
3304003,2018,28999
3304102,2018,18730
3304110,2018,19381
3304128,2018,14165
3304144,2018,149265
3304151,2018,24246
3304201,2018,130334
3304300,2018,59814
3304409,2018,18451
3304508,2018,9222
3304524,2018,145989
3304557,2018,6688927
3304607,2018,10417
3304706,2018,42359
3304755,2018,42201
3304805,2018,38626
3304904,2018,1077687
3305000,2018,36138
3305109,2018,471888
3305133,2018,7134
3305158,2018,21670
3305208,2018,102846
3305307,2018,9326
3305406,2018,18205
3305505,2018,87704
3305554,2018,86743
3305604,2018,21773
3305703,2018,15577
3305752,2018,33870
3305802,2018,180886
3305901,2018,10611
3306008,2018,81453
3306107,2018,76163
3306156,2018,10890
3306206,2018,36702
3306305,2018,271998
3300100,2019,203785
3300159,2019,11759
3300209,2019,132400
3300225,2019,12572
3300233,2019,33870
3300258,2019,30349
3300308,2019,100374
3300407,2019,184412
3300456,2019,510906
3300506,2019,27446
3300605,2019,37096
3300704,2019,226525
3300803,2019,58937
3300902,2019,15505
3300936,2019,16301
3300951,2019,8561
3301009,2019,507548
3301108,2019,20172
3301157,2019,12823
3301207,2019,18895
3301306,2019,44184
3301405,2019,23228
3301504,2019,21926
3301603,2019,11492
3301702,2019,919596
3301801,2019,14002
3301850,2019,60517
3301876,2019,28310
3301900,2019,240592
3302007,2019,133019
3302056,2019,15207
3302106,2019,23234
3302205,2019,103224
3302254,2019,31805
3302270,2019,104768
3302304,2019,7355
3302403,2019,256672
3302452,2019,5599
3302502,2019,245071
3302601,2019,44468
3302700,2019,161207
3302809,2019,18614
3302858,2019,176103
3302908,2019,25538
3303005,2019,27174
3303104,2019,15317
3303203,2019,162485
3303302,2019,513584
3303401,2019,190631
3303500,2019,821128
3303609,2019,52257
3303708,2019,44285
3303807,2019,43165
3303856,2019,27769
3303906,2019,306191
3303955,2019,25156
3304003,2019,29277
3304102,2019,18847
3304110,2019,19683
3304128,2019,14302
3304144,2019,150319
3304151,2019,24700
3304201,2019,131341
3304300,2019,60201
3304409,2019,18529
3304508,2019,9284
3304524,2019,150674
3304557,2019,6718903
3304607,2019,10404
3304706,2019,42479
3304755,2019,42205
3304805,2019,38669
3304904,2019,1084839
3305000,2019,36102
3305109,2019,472406
3305133,2019,7171
3305158,2019,21795
3305208,2019,104476
3305307,2019,9357
3305406,2019,18228
3305505,2019,89170
3305554,2019,82312
3305604,2019,21774
3305703,2019,15623
3305752,2019,34309
3305802,2019,182594
3305901,2019,10626
3306008,2019,81804
3306107,2019,76523
3306156,2019,11000
3306206,2019,36896
3306305,2019,273012
3300100,2020,207044
3300159,2020,11901
3300209,2020,134293
3300225,2020,12669
3300233,2020,34477
3300258,2020,30593
3300308,2020,100764
3300407,2020,184833
3300456,2020,513118
3300506,2020,27616
3300605,2020,37203
3300704,2020,230378
3300803,2020,59303
3300902,2020,15514
3300936,2020,16586
3300951,2020,8576
3301009,2020,511168
3301108,2020,20168
3301157,2020,12821
3301207,2020,19030
3301306,2020,45041
3301405,2020,23398
3301504,2020,22041
3301603,2020,11528
3301702,2020,924624
3301801,2020,14071
3301850,2020,61388
3301876,2020,28837
3301900,2020,242543
3302007,2020,134819
3302056,2020,15299
3302106,2020,23222
3302205,2020,103800
3302254,2020,32064
3302270,2020,105548
3302304,2020,7326
3302403,2020,261501
3302452,2020,5623
3302502,2020,246433
3302601,2020,45220
3302700,2020,164504
3302809,2020,18648
3302858,2020,176569
3302908,2020,25581
3303005,2020,27154
3303104,2020,15311
3303203,2020,162693
3303302,2020,515317
3303401,2020,191158
3303500,2020,823302
3303609,2020,52683
3303708,2020,44518
3303807,2020,43680
3303856,2020,27858
3303906,2020,306678
3303955,2020,25364
3304003,2020,29545
3304102,2020,18960
3304110,2020,19974
3304128,2020,14435
3304144,2020,151335
3304151,2020,25126
3304201,2020,132312
3304300,2020,60573
3304409,2020,18605
3304508,2020,9344
3304524,2020,155193
3304557,2020,6747815
3304607,2020,10392
3304706,2020,42594
3304755,2020,42210
3304805,2020,38710
3304904,2020,1091737
3305000,2020,36423
3305109,2020,472906
3305133,2020,7206
3305158,2020,21916
3305208,2020,106049
3305307,2020,9387
3305406,2020,18249
3305505,2020,90583
3305554,2020,83092
3305604,2020,21774
3305703,2020,15667
3305752,2020,34610
3305802,2020,184240
3305901,2020,10640
3306008,2020,82142
3306107,2020,76869
3306156,2020,11106
3306206,2020,37083
3306305,2020,273988
3300100,2021,210171
3300159,2021,12036
3300209,2021,136109
3300225,2021,12763
3300233,2021,35060
3300258,2021,30827
3300308,2021,101139
3300407,2021,185237
3300456,2021,515239
3300506,2021,27779
3300605,2021,37306
3300704,2021,234077
