fmun_cod,fmun,ano,mes,regiao,hom_doloso,lesao_corp_morte,latrocinio,hom_por_interv_policial,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,roubo_transeunte,roubo_celular,roubo_em_coletivo,roubo_veiculo,roubo_carga,roubo_comercio,roubo_residencia,roubo_banco,roubo_cx_eletronico,roubo_conducao_saque,roubo_apos_saque,roubo_bicicleta,outros_roubos,furto_veiculos,furto_transeunte,furto_coletivo,furto_celular,furto_bicicleta,outros_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas
3302106,Itaocara,2014,1,Noroeste Fluminense,0,0,0,0,1,22,1,1,9,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,2,0,1,0
3302205,Itaperuna,2014,1,Noroeste Fluminense,1,0,0,0,1,53,2,0,26,3,0,0,2,0,7,0,0,0,0,0,0,2,5,2,1,1,0,39,0,2,0,12,66
3302254,Itatiaia,2014,1,Médio Paraíba,0,0,0,0,2,23,3,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,3,0,24,0,0,0,2,125
3302270,Japeri,2014,1,Região Metropolitana,5,0,0,0,5,72,4,0,8,7,0,2,1,0,0,0,0,0,0,0,0,4,2,3,1,2,0,22,0,0,0,2,21
3302304,Laje do Muriaé,2014,1,Noroeste Fluminense,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
3302403,Macaé,2014,1,Norte Fluminense,10,0,0,3,19,86,26,4,60,66,7,3,42,4,19,0,0,0,0,0,0,11,36,20,7,13,0,169,0,4,0,32,25
3302452,Macuco,2014,1,Região Serrana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3302502,Magé,2014,1,Região Metropolitana,15,0,0,0,18,187,5,1,41,39,2,5,18,0,8,0,0,0,1,2,0,14,34,17,3,8,0,83,0,2,0,22,14
3302601,Mangaratiba,2014,1,Costa Verde,2,0,0,0,3,29,1,0,21,3,0,1,4,0,1,0,0,0,0,0,0,1,7,4,0,7,0,30,0,0,0,2,4
3302700,Maricá,2014,1,Região Metropolitana,6,0,0,0,4,77,2,9,65,16,1,0,14,0,5,2,0,0,0,1,0,2,19,7,4,8,0,102,0,2,0,20,14
3302809,Mendes,2014,1,Centro-Sul Fluminense,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,5,2
3302858,Mesquita,2014,1,Região Metropolitana,4,0,0,0,7,111,11,2,17,100,0,2,53,3,16,4,0,0,0,0,0,2,32,19,11,6,0,75,0,2,0,14,10
3302908,Miguel Pereira,2014,1,Centro-Sul Fluminense,2,0,0,0,1,21,1,2,11,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,18,0,0,0,2,4
3303005,Miracema,2014,1,Noroeste Fluminense,0,0,0,2,0,10,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,27
3303104,Natividade,2014,1,Noroeste Fluminense,0,0,0,0,0,7,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0
3303203,Nilópolis,2014,1,Região Metropolitana,9,0,1,0,7,105,3,0,13,116,17,1,71,5,14,3,0,0,0,3,0,14,13,31,8,11,0,90,0,0,0,24,9
3303302,Niterói,2014,1,Região Metropolitana,7,0,0,3,15,228,13,7,174,300,10,40,140,1,32,8,0,0,0,0,0,42,104,152,35,51,0,412,0,16,2,169,50
3303401,Nova Friburgo,2014,1,Região Serrana,3,0,0,0,3,104,8,6,65,16,4,0,0,0,6,1,0,0,0,0,0,9,19,4,2,5,0,100,0,1,0,16,29
3303500,Nova Iguaçu,2014,1,Região Metropolitana,51,0,2,1,24,467,41,6,143,446,32,36,259,24,42,8,0,1,0,8,0,30,46,88,20,38,0,274,0,5,1,106,41
3303609,Paracambi,2014,1,Região Metropolitana,0,0,0,0,0,25,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,2,0,10,0,0,0,5,14
3303708,Paraíba do Sul,2014,1,Centro-Sul Fluminense,1,0,0,0,0,25,2,0,13,0,0,0,2,1,0,0,0,0,0,0,0,1,6,0,0,2,0,13,0,0,0,0,7
3303807,Paraty,2014,1,Costa Verde,1,0,0,0,4,26,5,2,17,3,0,0,1,0,2,0,0,0,0,0,0,7,4,4,0,3,0,50,0,0,0,10,19
3303856,Paty do Alferes,2014,1,Centro-Sul Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3303906,Petrópolis,2014,1,Região Serrana,0,0,0,0,3,130,6,2,28,2,0,1,0,1,1,1,0,0,0,0,0,3,23,27,9,16,0,97,0,2,0,28,35
3303955,Pinheiral,2014,1,Médio Paraíba,0,0,0,0,0,24,2,0,7,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,3
3304003,Piraí,2014,1,Médio Paraíba,0,0,0,0,0,8,1,0,7,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,1,0,0,24,0,0,0,1,6
3304102,Porciúncula,2014,1,Noroeste Fluminense,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,4
3304110,Porto Real,2014,1,Médio Paraíba,0,0,0,0,1,20,1,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,13,0,1,0,1,11
3304128,Quatis,2014,1,Médio Paraíba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3304144,Queimados,2014,1,Região Metropolitana,8,0,0,1,5,142,9,0,21,42,0,7,15,2,6,1,0,0,0,1,0,4,12,10,4,3,0,66,0,3,0,12,10
3304151,Quissamã,2014,1,Norte Fluminense,2,0,1,0,1,12,2,0,21,0,0,0,3,0,3,0,0,0,0,0,0,1,4,0,0,0,0,9,0,1,0,1,1
3304201,Resende,2014,1,Médio Paraíba,4,0,0,0,2,94,5,1,25,3,0,0,1,1,2,0,0,0,0,0,0,2,9,8,5,15,0,87,0,1,0,14,35
3304300,Rio Bonito,2014,1,Região Metropolitana,1,0,0,0,0,20,0,9,20,4,0,2,7,0,4,2,0,0,0,0,0,0,5,0,1,3,0,17,0,0,0,8,5
3304409,Rio Claro,2014,1,Médio Paraíba,0,0,0,0,1,15,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0
3304508,Rio das Flores,2014,1,Médio Paraíba,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0
3304524,Rio das Ostras,2014,1,Baixadas Litorâneas,4,0,0,0,11,76,0,1,42,31,4,2,8,0,5,0,0,0,0,1,0,7,39,32,4,8,0,148,0,2,0,15,14
3304557,Rio de Janeiro,2014,1,Região Metropolitana,113,3,5,32,192,3562,194,62,1909,3273,308,423,1336,286,354,54,5,0,6,80,0,1027,629,2357,672,1059,0,4743,0,94,21,1672,1019
3304607,Santa Maria Madalena,2014,1,Região Serrana,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1
3304706,Santo Antônio de Pádua,2014,1,Noroeste Fluminense,3,0,1,0,0,27,1,0,6,0,0,0,2,1,1,0,0,0,0,0,0,2,5,1,0,2,0,30,0,0,0,1,27
3304755,São Francisco de Itabapoana,2014,1,Norte Fluminense,1,0,0,0,4,26,2,0,1,2,1,0,2,0,1,0,0,0,0,0,0,0,5,1,1,2,0,27,0,0,0,1,2
3304805,São Fidélis,2014,1,Norte Fluminense,0,0,0,0,0,19,1,0,5,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,20,0,1,0,1,7
3304904,São Gonçalo,2014,1,Região Metropolitana,29,0,1,3,50,481,32,12,199,731,41,51,408,41,62,5,0,0,1,7,0,76,114,109,35,47,0,344,0,7,2,127,70
3305000,São João da Barra,2014,1,Norte Fluminense,4,0,2,0,6,25,5,3,12,12,1,1,0,0,2,1,0,0,0,0,0,3,7,2,0,3,0,43,0,0,0,5,9
3305109,São João de Meriti,2014,1,Região Metropolitana,23,0,0,0,15,239,7,2,88,269,9,9,204,17,41,7,0,1,0,8,0,48,41,22,13,13,0,162,0,4,0,92,16
3305133,São José de Ubá,2014,1,Noroeste Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3305158,São José do Vale do Rio Preto,2014,1,Região Serrana,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3
3305208,São Pedro da Aldeia,2014,1,Baixadas Litorâneas,4,0,1,0,0,45,4,5,28,3,0,1,4,0,2,1,0,0,0,0,0,9,13,2,1,3,0,48,0,1,0,9,11
3305307,São Sebastião do Alto,2014,1,Região Serrana,1,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
3305406,Sapucaia,2014,1,Centro-Sul Fluminense,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,6,0,1,0,1,2
3305505,Saquarema,2014,1,Baixadas Litorâneas,1,0,0,0,2,47,6,6,54,6,0,6,4,0,2,2,0,0,0,0,0,1,12,4,0,9,0,79,0,0,0,7,6
3305554,Seropédica,2014,1,Região Metropolitana,3,0,0,0,6,48,3,0,8,7,0,1,8,4,1,1,0,0,0,0,0,6,5,2,2,4,0,33,0,1,0,8,4
3305604,Silva Jardim,2014,1,Baixadas Litorâneas,1,0,0,0,0,6,1,3,17,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,1,5
3305703,Sumidouro,2014,1,Região Serrana,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,2
3305752,Tanguá,2014,1,Região Metropolitana,1,0,0,0,0,27,1,0,10,2,0,0,10,0,0,0,0,0,0,0,0,1,4,0,0,2,0,5,0,1,0,2,9
3305802,Teresópolis,2014,1,Região Serrana,1,0,0,1,1,95,2,2,33,2,0,0,2,0,1,0,0,0,0,0,0,0,14,15,1,1,0,70,0,1,0,47,32
3305901,Trajano de Moraes,2014,1,Região Serrana,0,0,0,0,0,7,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1
3306008,Três Rios,2014,1,Centro-Sul Fluminense,0,0,1,0,1,83,5,2,13,1,0,0,0,0,2,0,0,0,0,0,0,3,2,1,0,6,0,65,0,2,0,8,47
3306107,Valença,2014,1,Médio Paraíba,1,0,0,0,3,34,0,3,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,19,0,0,0,6,7
3306156,Varre-Sai,2014,1,Noroeste Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3306206,Vassouras,2014,1,Centro-Sul Fluminense,0,0,0,0,0,25,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,14,0,0,0,2,2
3306305,Volta Redonda,2014,1,Médio Paraíba,7,0,0,0,17,98,6,1,31,12,2,0,2,0,10,3,0,0,0,0,0,8,20,19,3,17,0,123,0,1,0,53,36
3300100,Angra dos Reis,2014,2,Costa Verde,7,0,0,0,9,83,8,1,49,18,0,0,7,0,6,2,0,0,0,0,0,1,17,3,4,7,0,81,0,1,0,14,35
3300159,Aperibé,2014,2,Noroeste Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
